Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bathymetry contribution,distp contribution,slope contribution,surface_temp contribution,bathymetry permutation importance,distp permutation importance,slope permutation importance,surface_temp permutation importance,Training gain without bathymetry,Training gain without distp,Training gain without slope,Training gain without surface_temp,Training gain with only bathymetry,Training gain with only distp,Training gain with only slope,Training gain with only surface_temp,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
species_10,42,0.2046,0.2205,160,0.6814,203,82.5660,4.2302,7.8324,5.3714,67.9195,1.0588,25.7808,5.2409,0.0973,0.1901,0.1773,0.1940,0.1622,0.0530,0.0070,0.0030,5.1087,0.5021,1.0000,0.1849,0.9261,0.0000,5.0000,0.3130,0.8177,0.0952,10.0000,0.3520,0.7192,0.1429,2.6680,0.2609,0.8719,0.0000,6.5238,0.3243,0.7833,0.0952,37.6811,0.5997,0.3645,0.3810,35.5309,0.5721,0.3793,0.2857,2.6680,0.2609,0.8719,0.0000,5.3541,0.3143,0.8128,0.0952
species_11,42,0.1446,0.1522,100,0.6354,203,4.4827,55.4985,0.0707,39.9480,0.0000,49.9407,0.0000,50.0593,0.1409,0.0923,0.1444,0.0762,0.0392,0.0698,0.0171,0.0262,5.1686,0.5370,1.0000,0.2282,0.9360,0.0000,5.0000,0.3472,0.8374,0.0238,10.0000,0.4185,0.7488,0.1667,3.3682,0.3217,0.8768,0.0000,7.8262,0.3947,0.7833,0.0952,38.9468,0.6088,0.4039,0.4048,62.8184,0.7089,0.2069,0.5238,2.1166,0.2785,0.9064,0.0000,4.0454,0.3304,0.8621,0.0238
species_12,42,0.1768,0.1878,140,0.6633,203,48.2976,38.9680,0.3355,12.3989,80.6417,19.3583,0.0000,0.0000,0.1232,0.1422,0.1768,0.1542,0.1257,0.0899,0.0242,0.0025,5.1365,0.5206,1.0000,0.1994,0.9015,0.0000,5.0000,0.3563,0.8030,0.0476,10.0000,0.4176,0.7192,0.1429,2.3084,0.2918,0.8571,0.0000,5.6929,0.3708,0.7931,0.0476,40.6484,0.6152,0.3793,0.3571,37.8963,0.5996,0.4039,0.2857,2.3084,0.2918,0.8571,0.0000,3.4202,0.3284,0.8374,0.0238
species_13,42,0.1248,0.1646,240,0.6597,203,58.6561,11.1702,10.8603,19.3134,34.9902,8.8293,27.9922,28.1884,0.0935,0.1080,0.1059,0.0924,0.0711,0.0320,0.0007,0.0258,5.1881,0.5484,1.0000,0.2413,0.9409,0.0000,5.0000,0.3805,0.8522,0.0238,10.0000,0.4198,0.7685,0.0238,1.6530,0.2721,0.9212,0.0000,17.8028,0.4791,0.6552,0.0952,39.6231,0.6023,0.4039,0.4048,52.5541,0.6737,0.2956,0.4286,1.6530,0.2721,0.9212,0.0000,3.6063,0.3461,0.8818,0.0238
species_14,42,0.0666,0.0762,120,0.5945,203,53.5907,8.8548,7.4027,30.1518,23.9048,20.2857,22.1905,33.6190,0.0412,0.0613,0.0612,0.0408,0.0347,0.0074,0.0007,0.0125,5.2466,0.5864,1.0000,0.3672,0.9557,0.0000,5.0000,0.4557,0.8818,0.0714,10.0000,0.4967,0.8128,0.0714,1.7813,0.3753,0.9409,0.0000,11.1311,0.5062,0.7931,0.0952,37.9943,0.6056,0.4877,0.4762,61.3968,0.6654,0.2709,0.5238,0.5934,0.2889,0.9655,0.0000,2.3040,0.3945,0.9310,0.0476
species_15,42,0.1269,0.1354,140,0.6430,203,40.5953,44.8438,11.8786,2.6823,52.7927,18.4748,28.7325,0.0000,0.0920,0.0952,0.1060,0.1237,0.0851,0.0710,0.0066,0.0028,5.1863,0.5481,1.0000,0.2741,0.9360,0.0000,5.0000,0.3614,0.8473,0.0476,10.0000,0.4269,0.7586,0.0952,2.4156,0.3196,0.9015,0.0000,10.1319,0.4269,0.7586,0.0952,40.3297,0.6382,0.4039,0.4048,55.7099,0.6878,0.2759,0.4524,1.7963,0.2881,0.9163,0.0000,3.5493,0.3406,0.8768,0.0238
species_16,42,0.1259,0.1370,140,0.6528,203,49.4216,13.1733,30.4516,6.9535,34.2328,14.4583,44.1804,7.1285,0.0856,0.1046,0.0608,0.1154,0.0496,0.0179,0.0143,0.0037,5.1876,0.5480,1.0000,0.2632,0.9507,0.0000,5.0000,0.3542,0.8571,0.0238,10.0000,0.4110,0.7685,0.1190,1.7002,0.2919,0.9310,0.0000,6.6950,0.3774,0.8276,0.0714,47.8976,0.6512,0.3350,0.3333,54.6092,0.6830,0.2759,0.3810,1.7002,0.2919,0.9310,0.0000,3.9959,0.3279,0.8818,0.0238
species_17,42,0.2845,0.3052,180,0.7224,203,61.6158,20.2363,7.6613,10.4865,46.5460,28.0494,14.5119,10.8926,0.2052,0.2415,0.2548,0.2396,0.2035,0.1138,0.0274,0.0066,5.0286,0.4589,1.0000,0.1755,0.9163,0.0000,5.0000,0.2523,0.7931,0.0238,10.0000,0.3238,0.6847,0.0714,1.2342,0.1780,0.9064,0.0000,15.9555,0.3645,0.5764,0.0952,35.0791,0.5483,0.3399,0.3333,27.0780,0.4792,0.4286,0.1429,1.2342,0.1780,0.9064,0.0000,7.0255,0.2835,0.7488,0.0714
species_18,42,0.1735,0.1926,180,0.6636,203,32.2124,53.7794,4.3612,9.6469,55.9132,33.9398,10.1470,0.0000,0.1448,0.1268,0.1644,0.1614,0.1165,0.1033,0.0321,0.0004,5.1396,0.5195,1.0000,0.2051,0.9261,0.0000,5.0000,0.3371,0.8276,0.0476,10.0000,0.3954,0.7389,0.0714,1.2448,0.2072,0.9163,0.0000,11.5804,0.4195,0.7094,0.0952,40.8509,0.5972,0.3645,0.3571,37.7334,0.5743,0.3941,0.3095,1.2448,0.2072,0.9163,0.0000,4.6700,0.3326,0.8374,0.0476
species_19,42,0.0718,0.0868,180,0.6085,203,41.8411,41.9874,14.7847,1.3869,40.9048,22.8087,36.1294,0.1571,0.0543,0.0495,0.0625,0.0717,0.0354,0.0461,0.0162,0.0006,5.2412,0.5830,1.0000,0.2790,0.9458,0.0000,5.0000,0.4546,0.8719,0.0952,10.0000,0.5105,0.8030,0.1190,2.9587,0.4036,0.9015,0.0000,7.5806,0.4965,0.8325,0.0952,46.8198,0.6267,0.4039,0.3571,42.1793,0.6186,0.4483,0.2619,1.4901,0.3072,0.9360,0.0000,1.9315,0.3569,0.9261,0.0000
