Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bathymetry contribution,distp contribution,slope contribution,surface_temp contribution,bathymetry permutation importance,distp permutation importance,slope permutation importance,surface_temp permutation importance,Training gain without bathymetry,Training gain without distp,Training gain without slope,Training gain without surface_temp,Training gain with only bathymetry,Training gain with only distp,Training gain with only slope,Training gain with only surface_temp,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
species_33,42,0.2230,0.2380,140,0.6974,203,7.5551,59.1475,11.9830,21.3144,7.1267,45.7375,20.2977,26.8381,0.2129,0.1211,0.1881,0.1630,0.0924,0.1094,0.0118,0.0095,5.0902,0.4913,1.0000,0.1845,0.9310,0.0238,5.0000,0.2732,0.8128,0.0238,10.0000,0.3335,0.6995,0.1190,0.9215,0.1808,0.9360,0.0000,8.6289,0.3091,0.7241,0.0952,39.7670,0.5974,0.3399,0.3571,33.8124,0.5619,0.3892,0.2381,0.9215,0.1808,0.9360,0.0000,5.7085,0.2738,0.7980,0.0238
species_34,42,0.1080,0.1329,200,0.6558,203,42.8834,12.5522,39.0733,5.4911,22.5174,24.0784,49.4852,3.9190,0.0850,0.0943,0.0617,0.1022,0.0527,0.0261,0.0337,0.0010,5.2055,0.5592,1.0000,0.3054,0.9557,0.0000,5.0000,0.4205,0.8768,0.0238,10.0000,0.4448,0.7980,0.0952,1.7820,0.3585,0.9409,0.0000,11.5809,0.4568,0.7783,0.0952,44.9088,0.5910,0.3793,0.3810,56.7063,0.6480,0.2709,0.4286,0.8743,0.2443,0.9606,0.0000,4.1006,0.3929,0.8966,0.0238
species_35,42,0.2517,0.2623,160,0.6994,203,26.7568,39.0968,1.8717,32.2747,34.6286,26.2286,10.6286,28.5143,0.2117,0.1890,0.2446,0.1723,0.1292,0.0960,0.0143,0.0376,5.0615,0.4763,1.0000,0.1589,0.9163,0.0000,5.0000,0.2822,0.7931,0.0476,10.0000,0.3413,0.6946,0.0952,2.7401,0.2392,0.8571,0.0000,13.0786,0.3726,0.6404,0.0952,38.4790,0.5833,0.3350,0.3333,41.9312,0.6066,0.3054,0.3333,2.7401,0.2392,0.8571,0.0000,6.0732,0.2964,0.7734,0.0476
species_36,42,0.2773,0.3200,260,0.7196,203,83.6049,0.3182,0.5275,15.5495,83.0928,2.7629,0.0000,14.1443,0.1226,0.2757,0.2733,0.2388,0.2222,0.0326,0.0322,0.0385,5.0346,0.4628,1.0000,0.1528,0.8966,0.0000,5.0000,0.2827,0.7685,0.0714,10.0000,0.3438,0.6700,0.1190,2.1006,0.1815,0.8473,0.0000,9.4552,0.3393,0.6798,0.0714,36.6316,0.5844,0.3350,0.3333,33.8075,0.5729,0.3547,0.2619,2.1006,0.1815,0.8473,0.0000,5.8384,0.3063,0.7537,0.0714
species_37,42,0.2842,0.3101,180,0.7060,203,46.6684,50.1172,2.9959,0.2185,60.9890,30.7143,7.5824,0.7143,0.1516,0.1685,0.2778,0.2818,0.1596,0.1468,0.0064,0.0036,5.0293,0.4626,1.0000,0.1635,0.8670,0.0238,5.0000,0.2793,0.7488,0.0476,10.0000,0.3850,0.6601,0.0952,0.2923,0.1059,0.9064,0.0000,12.0362,0.4007,0.6305,0.0952,34.0156,0.5450,0.3793,0.3810,52.1376,0.6414,0.2266,0.4048,0.2923,0.1059,0.9064,0.0000,5.0560,0.2793,0.7488,0.0476
species_38,42,0.3547,0.3770,200,0.7462,203,17.3402,60.7193,7.2951,14.6454,24.4168,49.1280,17.3499,9.1053,0.3228,0.2315,0.3181,0.3042,0.2094,0.2067,0.0521,0.0032,4.9586,0.4244,1.0000,0.1236,0.9064,0.0000,5.0000,0.2053,0.7438,0.0238,10.0000,0.2975,0.6207,0.1190,2.6584,0.1581,0.8276,0.0000,7.7101,0.2482,0.6700,0.0952,32.7576,0.5177,0.3300,0.3333,24.7726,0.4641,0.4138,0.1429,2.6584,0.1581,0.8276,0.0000,6.7322,0.2372,0.6995,0.0952
species_39,42,0.1050,0.1189,180,0.6296,203,10.4574,64.3080,25.1641,0.0704,28.7445,28.1938,43.0617,0.0000,0.0941,0.0564,0.0652,0.1049,0.0379,0.0586,0.0020,0.0073,5.2082,0.5623,1.0000,0.2545,0.9409,0.0000,5.0000,0.4032,0.8522,0.0476,10.0000,0.4490,0.7685,0.0476,1.1978,0.2608,0.9360,0.0000,20.7228,0.5645,0.6355,0.0952,38.9474,0.6237,0.4532,0.4524,25.4820,0.5917,0.5813,0.1429,1.1978,0.2608,0.9360,0.0000,2.7722,0.3541,0.8966,0.0476
species_40,42,0.1598,0.1783,180,0.6640,203,52.7059,9.7752,5.9703,31.5486,61.6769,1.4925,21.3345,15.4960,0.0963,0.1407,0.1435,0.1240,0.0786,0.0275,0.0001,0.0351,5.1530,0.5265,1.0000,0.2141,0.9557,0.0238,5.0000,0.3283,0.8424,0.0714,10.0000,0.3854,0.7488,0.1190,0.7542,0.1968,0.9655,0.0000,9.5512,0.3828,0.7586,0.0714,37.0316,0.5651,0.4039,0.4048,63.1109,0.7104,0.1872,0.5000,0.7542,0.1968,0.9655,0.0000,4.9525,0.3273,0.8473,0.0714
species_41,42,0.2134,0.2328,200,0.7058,203,5.7525,76.7589,13.6734,3.8152,10.1791,72.5006,17.3203,0.0000,0.2057,0.0197,0.1838,0.2082,0.0177,0.1690,0.0000,0.0039,5.1000,0.5007,1.0000,0.1401,0.8719,0.0476,5.0000,0.3410,0.7537,0.0476,10.0000,0.4858,0.6798,0.0714,0.3909,0.0681,0.9212,0.0000,15.1742,0.5263,0.6207,0.0952,46.9330,0.6315,0.3300,0.3333,46.3243,0.6314,0.3300,0.2857,0.3909,0.0681,0.9212,0.0000,2.7617,0.2397,0.8079,0.0476
species_42,42,0.1893,0.2104,260,0.6631,203,2.2879,57.0618,3.9998,36.6504,3.7927,48.7420,19.9775,27.4878,0.1860,0.0938,0.1784,0.1130,0.0498,0.0863,0.0053,0.0290,5.1239,0.5101,1.0000,0.1994,0.9360,0.0000,5.0000,0.2994,0.8276,0.0952,10.0000,0.3625,0.7241,0.2143,1.5483,0.2214,0.9212,0.0000,6.8942,0.3262,0.7833,0.0952,37.8169,0.6024,0.3793,0.3810,71.5735,0.7505,0.1281,0.5714,1.5483,0.2214,0.9212,0.0000,5.3301,0.3005,0.8227,0.0952
species_43,42,0.1289,0.1480,200,0.6426,203,71.4482,12.7058,13.9745,1.8715,65.5714,7.4286,27.0000,0.0000,0.0603,0.1065,0.0984,0.1287,0.0839,0.0364,0.0009,0.0000,5.1841,0.5463,1.0000,0.2670,0.9409,0.0000,5.0000,0.3754,0.8522,0.0000,10.0000,0.4249,0.7685,0.1905,5.2289,0.3754,0.8522,0.0000,6.8859,0.3972,0.8227,0.0952,42.5456,0.6292,0.3793,0.3810,37.7227,0.5997,0.4236,0.3095,1.5118,0.2933,0.9310,0.0000,3.9520,0.3485,0.8768,0.0000
species_44,42,0.1753,0.1851,180,0.6665,203,87.5464,1.6372,6.0615,4.7549,74.2605,0.0000,21.6917,4.0477,0.0569,0.1707,0.1609,0.1698,0.1473,0.0334,0.0006,0.0033,5.1381,0.5195,1.0000,0.2165,0.9212,0.0000,5.0000,0.3320,0.8227,0.1190,10.0000,0.3830,0.7291,0.1905,1.5868,0.2461,0.9064,0.0000,4.4487,0.3281,0.8374,0.0952,39.1864,0.6213,0.3744,0.3810,32.6787,0.5826,0.4335,0.2381,1.5868,0.2461,0.9064,0.0000,4.4487,0.3281,0.8374,0.0952
species_45,42,0.2160,0.2302,180,0.6844,203,27.4212,65.5532,6.9834,0.0422,50.6869,29.6068,19.7063,0.0000,0.1586,0.1433,0.2024,0.2157,0.1317,0.1486,0.0135,0.0129,5.0970,0.4984,1.0000,0.1820,0.8818,0.0238,5.0000,0.3035,0.7734,0.0952,10.0000,0.4017,0.6749,0.0952,0.6755,0.1399,0.8966,0.0000,10.7706,0.4073,0.6650,0.0952,41.9154,0.6600,0.3498,0.3571,41.2557,0.6566,0.3498,0.3333,0.6755,0.1399,0.8966,0.0000,3.7571,0.2647,0.8030,0.0238
species_46,42,0.1316,0.1780,360,0.6667,203,37.9053,45.2248,2.4387,14.4311,24.2187,37.1582,7.6172,31.0059,0.0949,0.0628,0.1259,0.0944,0.0420,0.0639,0.0012,0.0229,5.1803,0.5449,1.0000,0.2577,0.9310,0.0000,5.0000,0.3962,0.8473,0.1190,10.0000,0.4391,0.7685,0.1429,2.7021,0.3561,0.8867,0.0000,4.5371,0.3854,0.8571,0.0952,45.4943,0.6354,0.3596,0.3571,58.7419,0.6824,0.2463,0.4048,2.7021,0.3561,0.8867,0.0000,3.7305,0.3710,0.8719,0.0476
species_47,42,0.3479,0.3752,440,0.7309,203,68.6266,7.1355,19.4759,4.7620,64.8339,0.0000,30.3006,4.8655,0.1771,0.3143,0.2526,0.3231,0.2273,0.0701,0.0241,0.0049,4.9653,0.4300,1.0000,0.1258,0.8719,0.0000,5.0000,0.2247,0.7291,0.0952,10.0000,0.2971,0.6108,0.0952,1.0521,0.1258,0.8670,0.0000,12.7067,0.3534,0.5665,0.0952,33.5930,0.5644,0.3350,0.3333,24.0898,0.5013,0.4187,0.2143,1.0521,0.1258,0.8670,0.0000,6.0915,0.2383,0.7044,0.0952
species_48,42,0.1236,0.1818,300,0.6683,203,33.6630,33.8158,12.5958,19.9255,42.7711,0.0000,16.3404,40.8886,0.1036,0.1146,0.1024,0.0949,0.0668,0.0526,0.0191,0.0414,5.1894,0.5488,1.0000,0.2617,0.9557,0.0000,5.0000,0.3497,0.8670,0.0238,10.0000,0.4096,0.7734,0.0238,1.6735,0.3092,0.9409,0.0000,25.4438,0.5200,0.5567,0.0952,37.7071,0.5892,0.4286,0.4286,25.4438,0.5200,0.5567,0.0952,1.4673,0.2907,0.9458,0.0000,4.3592,0.3415,0.8818,0.0238
species_49,42,0.2509,0.2688,180,0.6901,203,21.1560,13.1855,22.3822,43.2764,19.3570,0.0000,26.8126,53.8304,0.2279,0.2367,0.2063,0.1324,0.0729,0.0399,0.0790,0.0758,5.0619,0.4786,1.0000,0.1514,0.8818,0.0000,5.0000,0.3149,0.7635,0.0476,10.0000,0.3873,0.6749,0.0476,1.0952,0.1514,0.8768,0.0000,22.5647,0.4917,0.5074,0.0952,31.8137,0.5402,0.4138,0.4048,22.5647,0.4917,0.5074,0.0952,1.0952,0.1514,0.8768,0.0000,4.7533,0.3068,0.7734,0.0476
species_50,42,0.2588,0.2717,140,0.7092,203,75.7033,7.5046,7.6833,9.1089,59.8553,6.3226,21.6340,12.1882,0.1520,0.2332,0.2288,0.2244,0.1977,0.0764,0.0055,0.0079,5.0545,0.4733,1.0000,0.1774,0.9064,0.0238,5.0000,0.2689,0.7882,0.0952,10.0000,0.3316,0.6798,0.1190,0.7507,0.1442,0.9163,0.0000,7.2036,0.3000,0.7389,0.0952,41.1412,0.6253,0.3103,0.3095,50.3420,0.6881,0.2463,0.3095,0.7507,0.1442,0.9163,0.0000,5.8850,0.2835,0.7685,0.0952
species_51,42,0.1472,0.1642,200,0.6615,203,23.6264,57.1308,3.4321,15.8107,34.8727,38.4843,10.3020,16.3410,0.1209,0.0918,0.1423,0.1321,0.0819,0.0876,0.0082,0.0033,5.1658,0.5358,1.0000,0.2340,0.9212,0.0000,5.0000,0.3823,0.8325,0.0476,10.0000,0.4118,0.7488,0.0476,1.2649,0.2401,0.9163,0.0000,11.6036,0.4278,0.7192,0.0952,41.7509,0.6180,0.3793,0.3810,28.2748,0.5402,0.5123,0.1905,1.2649,0.2401,0.9163,0.0000,3.5529,0.3351,0.8621,0.0476
species_52,42,0.3297,0.3499,180,0.7304,203,65.4058,7.9550,2.3661,24.2732,69.1238,15.8554,0.0000,15.0209,0.1562,0.3024,0.3230,0.2940,0.2047,0.0413,0.0366,0.0595,4.9834,0.4379,1.0000,0.1417,0.8966,0.0000,5.0000,0.2343,0.7586,0.0476,10.0000,0.3114,0.6453,0.0952,2.1152,0.1743,0.8473,0.0000,11.0098,0.3216,0.6256,0.0952,37.6364,0.5902,0.3103,0.3095,36.4284,0.5785,0.3153,0.2381,2.1152,0.1743,0.8473,0.0000,6.8879,0.2613,0.7143,0.0714
species_53,42,0.1900,0.2145,200,0.6871,203,66.9335,2.5055,22.5278,8.0331,49.1560,16.9824,25.3875,8.4740,0.0726,0.1825,0.1407,0.1796,0.1253,0.0339,0.0470,0.0296,5.1231,0.5135,1.0000,0.1812,0.8867,0.0000,5.0000,0.3768,0.7931,0.0000,10.0000,0.4421,0.7143,0.0714,9.1955,0.4311,0.7291,0.0000,15.0949,0.4836,0.6502,0.0952,43.4568,0.6098,0.3596,0.3571,32.3409,0.5607,0.4581,0.1667,1.8001,0.2776,0.8621,0.0000,3.5764,0.3301,0.8227,0.0000
species_54,42,0.2066,0.2342,180,0.6780,203,28.7526,62.8428,4.8281,3.5765,55.3799,35.4407,9.1793,0.0000,0.1564,0.1209,0.1975,0.2055,0.1200,0.1328,0.0204,0.0006,5.1066,0.5024,1.0000,0.1812,0.8966,0.0000,5.0000,0.3319,0.7882,0.0476,10.0000,0.4094,0.6995,0.0952,1.1128,0.1812,0.8966,0.0000,10.6090,0.4109,0.6897,0.0952,38.0525,0.5724,0.3793,0.3810,61.3416,0.7143,0.2020,0.4762,1.1128,0.1812,0.8966,0.0000,4.0212,0.3020,0.8128,0.0238
species_55,42,0.3107,0.3533,340,0.7236,203,59.9050,15.6314,19.2521,5.2115,64.6192,7.7805,8.5995,19.0008,0.2245,0.2928,0.2821,0.2826,0.2371,0.1434,0.1224,0.0152,5.0025,0.4462,1.0000,0.1762,0.9015,0.0238,5.0000,0.2668,0.7833,0.0714,10.0000,0.3104,0.6798,0.1667,0.9586,0.1719,0.9064,0.0000,8.0646,0.2947,0.7192,0.0952,35.2699,0.5194,0.3350,0.3333,61.2388,0.7661,0.1478,0.4762,0.9586,0.1719,0.9064,0.0000,7.5986,0.2884,0.7291,0.0952
species_56,42,0.2363,0.2757,260,0.6985,203,3.8312,35.1385,35.4831,25.5472,5.3581,35.6499,46.5782,12.4138,0.2259,0.1397,0.1213,0.1811,0.0332,0.0389,0.0458,0.0335,5.0759,0.4833,1.0000,0.1892,0.9360,0.0238,5.0000,0.2851,0.8227,0.0952,10.0000,0.3296,0.7143,0.0952,0.8013,0.1602,0.9458,0.0000,12.8078,0.3551,0.6601,0.0952,38.4190,0.5878,0.3448,0.3333,50.0410,0.6349,0.2463,0.3810,0.8013,0.1602,0.9458,0.0000,6.6255,0.2992,0.7882,0.0952
species_57,42,0.1899,0.2107,180,0.6749,203,13.9525,75.7103,9.3224,1.0148,41.1256,30.6591,28.2153,0.0000,0.1542,0.0834,0.1691,0.1899,0.0773,0.1369,0.0009,0.0039,5.1233,0.5126,1.0000,0.2046,0.8916,0.0238,5.0000,0.3328,0.7882,0.0714,10.0000,0.4334,0.7044,0.0952,0.9872,0.2005,0.8916,0.0000,14.6069,0.4875,0.6453,0.0952,42.5937,0.6210,0.3596,0.3571,44.3493,0.6272,0.3399,0.3571,0.9872,0.2005,0.8916,0.0000,3.5363,0.3106,0.8227,0.0714
species_58,42,0.0967,0.1039,140,0.6227,203,49.2443,40.7447,4.0774,5.9336,84.1894,0.0000,13.9647,1.8459,0.0706,0.0793,0.0910,0.0904,0.0741,0.0561,0.0118,0.0000,5.2166,0.5670,1.0000,0.2794,0.9409,0.0000,5.0000,0.4121,0.8621,0.1190,10.0000,0.4625,0.7833,0.1667,1.4548,0.3035,0.9261,0.0000,4.8100,0.4112,0.8670,0.0952,43.6182,0.6238,0.4039,0.4048,52.6239,0.6644,0.3202,0.4286,1.4548,0.3035,0.9261,0.0000,2.6274,0.3655,0.9064,0.0238
species_59,42,0.1195,0.1469,200,0.6440,203,7.7313,58.2159,26.0634,7.9893,23.2821,46.7259,29.9919,0.0000,0.1069,0.0560,0.0784,0.1142,0.0384,0.0557,0.0113,0.0002,5.1932,0.5519,1.0000,0.2118,0.9458,0.0000,5.0000,0.3655,0.8473,0.0000,10.0000,0.4510,0.7635,0.0952,5.4145,0.3768,0.8374,0.0000,14.0394,0.4821,0.7094,0.0952,38.8250,0.5960,0.4286,0.4286,56.4241,0.6706,0.2759,0.4762,2.2311,0.2872,0.9113,0.0000,3.2761,0.3254,0.8867,0.0000
species_60,42,0.1686,0.1840,140,0.6563,203,38.9485,55.5501,1.7231,3.7783,54.6166,43.5837,1.7997,0.0000,0.1350,0.1364,0.1660,0.1569,0.1272,0.1154,0.0372,0.0014,5.1445,0.5227,1.0000,0.2530,0.9360,0.0000,5.0000,0.3635,0.8473,0.0238,10.0000,0.4007,0.7586,0.1667,1.0242,0.2530,0.9310,0.0000,9.1057,0.3904,0.7783,0.0476,41.4198,0.5677,0.3547,0.3333,41.4198,0.5677,0.3547,0.3333,1.0242,0.2530,0.9310,0.0000,5.4754,0.3665,0.8424,0.0238
species_61,42,0.0943,0.1004,80,0.6223,203,23.3094,30.6306,9.1810,36.8790,16.7579,15.2531,39.8769,28.1122,0.0849,0.0609,0.0817,0.0550,0.0318,0.0337,0.0009,0.0179,5.2190,0.5684,1.0000,0.3024,0.9507,0.0000,5.0000,0.4150,0.8670,0.0476,10.0000,0.4522,0.7882,0.1429,3.2563,0.3602,0.8966,0.0000,6.0087,0.4253,0.8473,0.0952,40.9215,0.6268,0.4286,0.4286,60.1309,0.6843,0.2611,0.5000,1.0823,0.3024,0.9507,0.0000,3.0146,0.3518,0.9064,0.0000
species_62,42,0.1741,0.1878,160,0.6564,203,67.7517,16.0662,4.1376,12.0446,69.3895,12.6397,17.9708,0.0000,0.1175,0.1584,0.1666,0.1443,0.1352,0.0663,0.0237,0.0047,5.1390,0.5201,1.0000,0.2497,0.9261,0.0000,5.0000,0.3458,0.8374,0.0714,10.0000,0.3932,0.7488,0.1429,2.7385,0.3102,0.8818,0.0000,5.6147,0.3531,0.8276,0.0714,37.3124,0.5545,0.4039,0.3810,67.0133,0.7446,0.1626,0.5476,2.7385,0.3102,0.8818,0.0000,5.1086,0.3458,0.8374,0.0714
species_63,42,0.0716,0.0826,180,0.6019,203,77.3964,16.7521,0.1313,5.7201,96.4674,3.5326,0.0000,0.0000,0.0359,0.0586,0.0716,0.0709,0.0532,0.0304,0.0076,0.0007,5.2416,0.5834,1.0000,0.3182,0.9458,0.0000,5.0000,0.4733,0.8768,0.0952,10.0000,0.5065,0.8079,0.1429,1.4618,0.3419,0.9310,0.0000,8.5927,0.5003,0.8227,0.0952,49.7354,0.6327,0.3793,0.3810,55.2074,0.6531,0.3251,0.3810,1.4618,0.3419,0.9310,0.0000,1.9334,0.3749,0.9261,0.0238
species_64,42,0.1199,0.1362,160,0.6378,203,42.3743,42.0509,15.3047,0.2700,54.2479,13.2502,32.5019,0.0000,0.0806,0.0880,0.0910,0.1200,0.0747,0.0579,0.0009,0.0028,5.1933,0.5520,1.0000,0.2547,0.9409,0.0000,5.0000,0.3675,0.8522,0.0238,10.0000,0.4191,0.7635,0.0238,2.2371,0.3045,0.9064,0.0000,14.7433,0.4631,0.6897,0.0714,38.7525,0.6155,0.4236,0.4286,13.3824,0.4519,0.7094,0.0238,2.2371,0.3045,0.9064,0.0000,3.3576,0.3447,0.8867,0.0238
species_65,42,0.2127,0.2201,160,0.6875,203,75.2772,23.4793,0.0883,1.1553,96.9010,0.8314,2.2676,0.0000,0.1249,0.1990,0.2125,0.2109,0.1985,0.1095,0.0359,0.0013,5.1003,0.4978,1.0000,0.2011,0.9163,0.0238,5.0000,0.3119,0.8079,0.0714,10.0000,0.3562,0.7094,0.1429,0.2521,0.1296,0.9458,0.0000,8.7629,0.3490,0.7291,0.0952,39.9067,0.6014,0.3448,0.3571,38.2281,0.5879,0.3596,0.2857,0.2521,0.1296,0.9458,0.0000,5.0887,0.3119,0.8079,0.0714
species_66,42,0.1541,0.1746,160,0.6578,203,31.5499,60.4887,3.5117,4.4497,56.1022,43.8978,0.0000,0.0000,0.1102,0.1021,0.1523,0.1532,0.0909,0.0999,0.0256,0.0000,5.1590,0.5329,1.0000,0.1838,0.9064,0.0000,5.0000,0.4023,0.8128,0.0714,10.0000,0.4624,0.7389,0.0952,1.4336,0.2395,0.8916,0.0000,11.2652,0.4691,0.7192,0.0952,42.3844,0.6050,0.3793,0.3571,67.5451,0.7093,0.1823,0.5000,1.4336,0.2395,0.8916,0.0000,3.0016,0.3155,0.8522,0.0714
species_67,42,0.2683,0.2787,120,0.6959,203,73.2011,8.8479,0.0410,17.9100,93.2894,2.7561,1.6777,2.2768,0.1696,0.2565,0.2681,0.2215,0.2113,0.0732,0.0344,0.0255,5.0448,0.4664,1.0000,0.1781,0.9310,0.0000,5.0000,0.2785,0.8079,0.0476,10.0000,0.3203,0.6995,0.0952,2.0118,0.2024,0.8966,0.0000,10.1884,0.3203,0.6995,0.0952,31.9998,0.5015,0.3793,0.3810,47.6707,0.6585,0.2414,0.4048,2.0118,0.2024,0.8966,0.0000,7.1096,0.2988,0.7635,0.0714
species_68,42,0.2152,0.2291,160,0.6792,203,31.8297,56.5468,5.5343,6.0891,41.8715,36.8755,18.6360,2.6170,0.1888,0.1741,0.2036,0.1984,0.1566,0.1464,0.0577,0.0004,5.0980,0.4951,1.0000,0.2206,0.9360,0.0000,5.0000,0.2915,0.8325,0.0238,10.0000,0.3549,0.7291,0.0476,2.4687,0.2638,0.8916,0.0000,10.6663,0.3570,0.7143,0.0952,35.9289,0.5355,0.3793,0.3810,63.2667,0.7374,0.1626,0.5238,2.4687,0.2638,0.8916,0.0000,6.3783,0.3069,0.8030,0.0238
species_69,42,0.0725,0.0788,120,0.6108,203,52.5526,16.1650,17.0761,14.2063,30.3467,7.5733,43.9467,18.1333,0.0536,0.0561,0.0513,0.0579,0.0360,0.0178,0.0027,0.0042,5.2407,0.5828,1.0000,0.3925,0.9507,0.0000,5.0000,0.4361,0.8818,0.0238,10.0000,0.4858,0.8079,0.0714,1.7771,0.3975,0.9409,0.0000,10.7936,0.4903,0.7931,0.0714,46.1658,0.6418,0.4039,0.4048,39.9640,0.6070,0.4581,0.2857,0.2978,0.2033,0.9704,0.0000,2.5897,0.4026,0.9261,0.0238
species_70,42,0.0982,0.1128,240,0.6315,203,56.6838,16.6663,11.8838,14.7661,42.6516,11.9219,35.8684,9.5581,0.0716,0.0830,0.0825,0.0784,0.0623,0.0307,0.0039,0.0057,5.2147,0.5651,1.0000,0.3310,0.9557,0.0000,5.0000,0.4006,0.8719,0.0476,10.0000,0.4474,0.7931,0.0952,4.4378,0.3810,0.8818,0.0000,10.1091,0.4474,0.7931,0.0952,39.7818,0.5854,0.4286,0.4524,32.8198,0.5553,0.4975,0.2381,0.6260,0.2832,0.9655,0.0000,3.6641,0.3678,0.9015,0.0000
species_71,42,0.2130,0.2337,180,0.6783,203,3.9606,80.2991,7.6911,8.0492,10.4938,63.3333,18.7654,7.4074,0.2031,0.0473,0.1914,0.1970,0.0457,0.1569,0.0079,0.0001,5.0999,0.4996,1.0000,0.1336,0.8867,0.0238,5.0000,0.3188,0.7537,0.0476,10.0000,0.4463,0.6700,0.0714,0.7361,0.1147,0.9015,0.0000,16.9336,0.5164,0.5813,0.0952,39.4632,0.6246,0.3744,0.3571,16.9336,0.5164,0.5813,0.0952,0.7361,0.1147,0.9015,0.0000,3.0019,0.2223,0.8079,0.0238
species_72,42,0.3165,0.3518,320,0.7301,203,50.3608,18.5113,2.6998,28.4281,54.3917,7.7971,9.3941,28.4171,0.2275,0.2684,0.3079,0.2387,0.1888,0.0865,0.0142,0.0540,4.9954,0.4427,1.0000,0.1273,0.8916,0.0000,5.0000,0.2554,0.7635,0.0000,10.0000,0.3091,0.6552,0.0476,6.7607,0.2778,0.7192,0.0000,15.5150,0.3645,0.5567,0.0952,34.2316,0.5335,0.3350,0.3571,26.4404,0.4907,0.4089,0.1905,6.7607,0.2778,0.7192,0.0000,6.7607,0.2778,0.7241,0.0000
species_73,42,0.0903,0.1059,140,0.6243,203,0.4868,76.2271,4.5313,18.7548,1.6787,81.5348,16.0671,0.7194,0.0900,0.0233,0.0861,0.0758,0.0145,0.0707,0.0018,0.0033,5.2233,0.5711,1.0000,0.2101,0.9458,0.0000,5.0000,0.4086,0.8522,0.0714,10.0000,0.4867,0.7734,0.0714,2.1887,0.2997,0.9113,0.0000,14.0560,0.5057,0.7241,0.0952,44.4679,0.6439,0.4089,0.4048,56.0487,0.6689,0.3054,0.4524,2.1887,0.2997,0.9113,0.0000,2.1887,0.2997,0.9113,0.0000
species_74,42,0.1265,0.1397,200,0.6389,203,15.0100,70.7323,8.0884,6.1693,8.5572,49.5522,26.5672,15.3234,0.1138,0.0753,0.1144,0.1144,0.0655,0.0920,0.0138,0.0008,5.1866,0.5490,1.0000,0.2663,0.9310,0.0000,5.0000,0.3693,0.8424,0.0476,10.0000,0.4214,0.7537,0.0714,1.2535,0.2859,0.9212,0.0000,12.7769,0.4659,0.7143,0.0714,44.1320,0.6337,0.3793,0.3810,54.1512,0.6725,0.2906,0.4048,1.2535,0.2859,0.9212,0.0000,3.3967,0.3468,0.8768,0.0476
species_75,42,0.2091,0.2194,120,0.6809,203,8.1352,55.1461,2.1844,34.5343,12.7530,50.3374,13.6977,23.2119,0.2007,0.1356,0.2024,0.1211,0.0938,0.0907,0.0165,0.0241,5.1042,0.4982,1.0000,0.1969,0.9507,0.0000,5.0000,0.2935,0.8374,0.1190,10.0000,0.3440,0.7291,0.1190,3.6092,0.2820,0.8670,0.0000,4.2154,0.2834,0.8522,0.0476,38.2716,0.5674,0.3596,0.3571,29.3615,0.4982,0.4532,0.2381,3.6092,0.2820,0.8670,0.0000,6.3785,0.3150,0.8079,0.1190
species_76,42,0.2031,0.2091,100,0.6763,203,51.3515,39.0521,0.0118,9.5846,83.2375,12.5719,1.3147,2.8759,0.1544,0.1748,0.2030,0.1817,0.1617,0.1119,0.0410,0.0011,5.1101,0.5036,1.0000,0.2165,0.9113,0.0000,5.0000,0.3274,0.8128,0.0238,10.0000,0.3795,0.7192,0.1190,2.1785,0.2658,0.8768,0.0000,8.0080,0.3559,0.7537,0.0952,37.2595,0.5669,0.3793,0.3810,28.4975,0.5046,0.4680,0.2143,2.1785,0.2658,0.8768,0.0000,5.2237,0.3274,0.8128,0.0238
